State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Surendranagar,"Dhragradhra APMC","Sesamum(Sesame,Gingelly,Til)",White,Local,31/12/2025,7100,7100,7100
Gujarat,Surendranagar,"Dhragradhra APMC","Cummin Seed(Jeera)","Cummin Seed(Jeera)",Local,31/12/2025,16600,19275,19000
Gujarat,Surendranagar,"Dhragradhra APMC",Ajwan,Ajwan,Local,31/12/2025,5460,5460,5460
Rajasthan,Jodhpur,"Jodhpur (F&V) APMC",Kinnow,Kinnow,Medium,31/12/2025,1000,2800,1400
Rajasthan,Jodhpur,"Jodhpur (F&V) APMC",Pineapple,"Pine Apple",Medium,31/12/2025,1000,2000,1500
Rajasthan,"Jodhpur Rural","Osiyan Mathania APMC",Groundnut,Other,Local,31/12/2025,5000,6000,5500
Rajasthan,"Jodhpur Rural","Osiyan Mathania APMC",Mustard,Other,Local,31/12/2025,6000,6100,6050
Gujarat,Banaskanth,"Vadgam APMC",Groundnut,Other,FAQ,31/12/2025,6005,7200,7200
Punjab,Mohali,"Kharar APMC","Peas Wet","Peas Wet",Local,31/12/2025,2000,2500,2200
Punjab,Mohali,"Kharar APMC",Kinnow,Kinnow,Local,31/12/2025,2500,3000,2700
Assam,Nagaon,"Dhing APMC",Ginger(Green),"Green Ginger",FAQ,31/12/2025,3000,3400,3300
Rajasthan,Ajmer,"Madanganj Kishangarh APMC","Guar Seed(Cluster Beans Seed)",Other,Local,31/12/2025,3700,4785,4260
Rajasthan,Ajmer,"Madanganj Kishangarh APMC",Jowar(Sorghum),Other,Local,31/12/2025,2190,3701,2459
Rajasthan,Alwar,"Kherli APMC",Mustard,Mustard,Non-FAQ,31/12/2025,6640,6900,6780
Assam,Kokrajhar,"Gossaigaon APMC",Brinjal,Brinjal,Local,31/12/2025,2500,3000,2700
Assam,Kokrajhar,"Gossaigaon APMC",Potato,Potato,Local,31/12/2025,1100,1300,1200
Assam,Sibsagar,"Sonari APMC",Potato,Potato,FAQ,31/12/2025,1150,1200,1175
Assam,Sibsagar,"Sonari APMC",Cauliflower,Cauliflower,FAQ,31/12/2025,3100,3300,3200
